"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "PostCSS", "TypeScript JSX", "TOML", "MS SQL", "HTML", "Rust", "YAML", "WebAssembly Text Format", "comment", "blank", "total"
"d:\limerence\pi-web\src\styles\mobile.css", "PostCSS", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 13, 20, 107
"d:\limerence\pi-web\src\styles\tokens.css", "PostCSS", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 13, 9, 67
"d:\limerence\pi-web\src\styles\workspace.css", "PostCSS", 0, 0, 0, 0, 0, 429, 0, 0, 0, 0, 0, 0, 0, 15, 83, 527
"d:\limerence\pi-web\src\theme-transition.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 55
"d:\limerence\pi-web\src\views\auth-dialog.ts", "TypeScript", 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 22, 334
"d:\limerence\pi-web\src\views\character-selector.ts", "TypeScript", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 107
"d:\limerence\pi-web\src\views\header.ts", "TypeScript", 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 230
"d:\limerence\pi-web\src\views\message-actions.ts", "TypeScript", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 174
"d:\limerence\pi-web\src\views\settings-panels.ts", "TypeScript", 0, 0, 0, 424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 36, 478
"d:\limerence\pi-web\src\views\supabase-config-dialog.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 105
